,totalhomeless,totalhouseholds,totalveterans,totalyoungadults,householdincome,percenthighschoolorhigher,percentbachelorsorhigher,maxweeklybenefitamount,maxweeks,pop_x,unemploymentrate,costindex,grocerycost,housingcost,utilitiescost,transportationcost,misccost,averagetemperature,rank,pop_y,growth,pop2010,growthsince2010,percent,density,veterans,veteranspercapita
unemploymentrate,-0.05004152645447524,-0.1209095178883053,0.011605615490095736,0.004097720768614712,0.05589254879999305,-0.015148309003732055,0.15365204748776667,-0.03039479541519961,-0.07391276144825411,-0.08287624690306143,1.0,0.0717836790981703,-0.02643217883111131,0.02947510107862315,0.11272197100381531,0.1339710357727939,-0.061139948077137206,0.07957486017304007,0.003931928033514717,-0.08287624690306146,-0.052068306800781165,-0.07794085055973768,-0.037885419235762254,-0.08294629247220038,0.02593592568544289,-0.05823801841941278,0.11392625201560418
costindex,0.41845662424988644,0.3876313522659149,0.3449880457296175,0.37969135304795787,0.7071977953964396,0.1779157013213476,0.5403595728959099,0.42737093613366417,0.2760297280961073,0.14645958020750605,0.0717836790981703,1.0,0.8695619773494898,0.3653050076619115,0.7364659554634004,0.6282799279960111,0.841386789607524,-0.06065650446078174,0.04176992961951951,0.14645958020750602,-0.25660081394214523,0.16192335264593996,-0.1133678539433049,0.1463489197618498,0.39573195304742,0.03317080477784262,-0.10556643230753819
grocerycost,0.20126165547316763,0.25488378349071517,0.12018622597401174,0.15145252411330887,0.5966883632131776,0.27109954698608774,0.3509829052008681,0.3456376551009621,0.216883812584602,-0.023850494316878995,-0.02643217883111131,0.8695619773494898,1.0,0.3046712414150547,0.747945204036987,0.5714871869012648,0.7454066715916124,-0.0949055733851262,0.16021961914421093,-0.023850494316879023,-0.25479817732656546,-0.0148320355470121,-0.09110481393853494,-0.023786107712727163,0.2537772628651053,-0.0779334845804253,0.12357618971818592
housingcost,0.16746009787815874,0.19356833095764434,0.09684193288616896,0.12662957267705965,0.09016906825431749,-0.1537140769555144,0.025654540301944643,-0.027939010637785006,0.17649428837531045,0.015476067896162732,0.02947510107862315,0.3653050076619115,0.3046712414150547,1.0,0.23841160095041306,0.19660957136095228,0.21587079480133564,0.16651464542215375,0.07692224482008167,0.015476067896162729,-0.2381430003483403,0.02665294280436726,-0.1777945312702833,0.015612452790833554,0.09619728875252789,-0.04810441268221213,-0.12633877554285652
utilitiescost,0.17548146988176797,0.08359327212640427,0.19352048829362567,0.1771436751925901,0.5340356014355937,0.13791940857593457,0.3050656837648378,0.14816850037665813,0.11931162244491145,0.07421790955187887,0.11272197100381531,0.7364659554634004,0.747945204036987,0.23841160095041306,1.0,0.4510064339284704,0.6317398234563387,-0.016147420794332536,0.136223779809899,0.07421790955187882,-0.3868437591356241,0.07967156092275536,-0.28315166808502484,0.07437367480239217,0.3152508409018479,0.016783062259812753,0.06131298955679743
transportationcost,0.3026275418928796,0.21745926556069006,0.29435514663718604,0.3300749619173483,0.46189102928130316,0.1400596013630286,0.3488176259305378,0.45577032503109566,0.13427532651112137,0.11656075703770333,0.1339710357727939,0.6282799279960111,0.5714871869012648,0.19660957136095228,0.4510064339284704,1.0,0.614879990769572,-0.13263202288911324,0.07863305256341505,0.11656075703770337,-0.20133527814998914,0.12989759438235915,-0.10332400032339012,0.11637598677750338,0.19672982356112018,0.034732250790337274,-0.1059527012566469
misccost,0.257919645520135,0.3034398540543536,0.17617189355275178,0.21326214056816498,0.6893307094227692,0.2572018642011795,0.5463525993166242,0.5168644998466663,0.28079296755166644,0.011713248389262758,-0.061139948077137206,0.841386789607524,0.7454066715916124,0.21587079480133564,0.6317398234563387,0.614879990769572,1.0,-0.20633849969246365,0.10519499068494123,0.011713248389262802,-0.19722591049027108,0.02184642658735833,-0.11034504686987535,0.011749807310206445,0.4601085165911628,-0.07011166094775263,-0.03838909492356131
averagetemperature,0.13181704190543675,-0.00608304871116028,0.22984037313128453,0.14057475512556608,-0.3035077953360627,-0.7133972551520654,-0.28362826833244753,-0.3510343072010866,-0.34585442254884563,0.3604273511109859,0.07957486017304007,-0.06065650446078174,-0.0949055733851262,0.16651464542215375,-0.016147420794332536,-0.13263202288911324,-0.20633849969246365,1.0,-0.4081019670387356,0.360427351110986,0.11077720843342527,0.33882445494879787,0.13596994174742583,0.36035222272338907,0.11169690890484112,0.4373951903771832,-0.14450326331039492
rank,-0.48624505536714496,-0.4621047068266407,-0.45319955618115265,-0.40652944539982816,-0.07117026566819075,0.46006584023972596,-0.18993315126186036,0.06340514037605763,0.2663826362758891,-0.7796041128053031,0.003931928033514717,0.04176992961951951,0.16021961914421093,0.07692224482008167,0.136223779809899,0.07863305256341505,0.10519499068494123,-0.4081019670387356,1.0,-0.7796041128053031,-0.10544187158606545,-0.7853922303624509,-0.13259566967284522,-0.77957585756726,-0.2585499417642545,-0.8268177272306927,0.47448954449045266
pop_y,0.8142670833574037,0.6058358524623094,0.8052581706003309,0.7694868688702442,0.11805211271783612,-0.5338087235794351,0.1404181379935396,-0.06330227242392926,-0.17051865283266207,1.0,-0.08287624690306146,0.14645958020750602,-0.023850494316879023,0.015476067896162729,0.07421790955187882,0.11656075703770337,0.011713248389262802,0.360427351110986,-0.7796041128053031,1.0,0.04673508033373008,0.9967353670506559,0.141701018128969,0.9999991901613029,0.16588709346644848,0.9596575879294887,-0.4592824925804109
growth,-0.0871259049514262,-0.17697019281490056,0.031810586891677366,-0.018264746723740316,-0.1049474725028816,-0.008029030115636295,-0.02422691401176973,-0.05066387935654429,-0.22514905025429643,0.04673508033373008,-0.052068306800781165,-0.25660081394214523,-0.25479817732656546,-0.2381430003483403,-0.3868437591356241,-0.20133527814998914,-0.19722591049027108,0.11077720843342527,-0.10544187158606545,0.04673508033373008,1.0,-0.004836825737550831,0.9408733449701975,0.04680660751209571,-0.24218916383491887,0.1386528269131538,0.0657578684438731
pop2010,0.8353905711574242,0.6367360607595047,0.8108837385815124,0.7845670824591557,0.1262538902231467,-0.5288298783897012,0.14843372146656567,-0.05885665326892763,-0.15241890924670087,0.9967353670506559,-0.07794085055973768,0.16192335264593996,-0.0148320355470121,0.02665294280436726,0.07967156092275536,0.12989759438235915,0.02184642658735833,0.33882445494879787,-0.7853922303624509,0.9967353670506559,-0.004836825737550831,1.0,0.08553199022526453,0.9967252704916,0.18239161170250548,0.945147934598134,-0.48143553942223904
growthsince2010,0.013957401547731596,-0.09212756389774325,0.12828939588822164,0.06907902394048471,0.024074653330081748,-0.010812550992374633,0.04530442589317452,0.026646027631624075,-0.19283939441932813,0.141701018128969,-0.037885419235762254,-0.1133678539433049,-0.09110481393853494,-0.1777945312702833,-0.28315166808502484,-0.10332400032339012,-0.11034504686987535,0.13596994174742583,-0.13259566967284522,0.141701018128969,0.9408733449701975,0.08553199022526453,1.0,0.1417823181276584,-0.24191215325555676,0.22631560332635306,0.05298861984762141
percent,0.8141811962577479,0.6058591411650183,0.8051202118606142,0.7693402447540256,0.11798812875547267,-0.5338566568489829,0.14035534613415782,-0.06331317691958442,-0.17061947433036345,0.9999991901613029,-0.08294629247220038,0.1463489197618498,-0.023786107712727163,0.015612452790833554,0.07437367480239217,0.11637598677750338,0.011749807310206445,0.36035222272338907,-0.77957585756726,0.9999991901613029,0.04680660751209571,0.9967252704916,0.1417823181276584,1.0,0.16593209196246902,0.959650370285897,-0.45945671239205976
density,0.13060969158794505,0.21874603497237344,0.06902560665949387,0.049920970749990114,0.5133575677464369,-0.04850953740180208,0.5229123998317714,0.32181549012833566,0.04024637696989439,0.16588709346644848,0.02593592568544289,0.39573195304742,0.2537772628651053,0.09619728875252789,0.3152508409018479,0.19672982356112018,0.4601085165911628,0.11169690890484112,-0.2585499417642545,0.16588709346644848,-0.24218916383491887,0.18239161170250548,-0.24191215325555676,0.16593209196246902,1.0,0.1176648343696397,-0.4864191613260924
veterans,0.6715339682336811,0.476084138924034,0.7052734356782356,0.6364646521013838,0.03628381271399392,-0.512783541914894,0.08962178659663451,-0.14439369333125182,-0.28790454513577435,0.9596575879294887,-0.05823801841941278,0.03317080477784262,-0.0779334845804253,-0.04810441268221213,0.016783062259812753,0.034732250790337274,-0.07011166094775263,0.4373951903771832,-0.8268177272306927,0.9596575879294887,0.1386528269131538,0.945147934598134,0.22631560332635306,0.959650370285897,0.1176648343696397,1.0,-0.31050263775747133
veteranspercapita,-0.4292671681362871,-0.46457030597474663,-0.3101037522397137,-0.33832395403102883,-0.22907373304011852,0.2793188540574932,-0.3184760792710036,-0.26670481281743863,-0.050554795120237306,-0.4592824925804109,0.11392625201560418,-0.10556643230753819,0.12357618971818592,-0.12633877554285652,0.06131298955679743,-0.1059527012566469,-0.03838909492356131,-0.14450326331039492,0.47448954449045266,-0.4592824925804109,0.0657578684438731,-0.48143553942223904,0.05298861984762141,-0.45945671239205976,-0.4864191613260924,-0.31050263775747133,1.0
