state,totalhomeless,totalhouseholds,totalveterans,totalyoungadults,householdincome,percenthighschoolorhigher,percentbachelorsorhigher,maxweeklybenefitamount,maxweeks,pop,unemploymentrate,costindex,grocerycost,housingcost,utilitiescost,transportationcost,misccost,averagetemperature,rank,growth,pop2010,growthsince2010,percent,density,veterans,veteranspercapita
Louisiana,2941,170,360,188,49469,85,24,247,26,4627002,0.035,93.9,95.6,86.3,86.7,94.9,98.4,66.4,25,-0.0023,4544532,0.0181,0.0138,107.0966,243335,5259.0209
Utah,2798,260,211,163,71621,92,34,580,26,3310774,0.026,98.4,97.9,97.6,93.2,99.8,99.5,48.6,30,0.0161,2775332,0.1929,0.0099,40.2918,120447,3638.0315
Arkansas,2717,132,238,336,47597,87,23,451,20,3033946,0.025,86.9,92.5,75.6,90.7,91,97.4,60.4,34,0.0027,2921964,0.0383,0.0091,58.3059,197138,6497.7425
Kansas,2381,209,189,122,59597,91,33,488,16,2917224,0.049,89,92.6,70,100.1,95.4,90.3,54.3,36,0.0007,2858190,0.0207,0.0087,35.6808,176444,6048.3528
Nebraska,2365,201,175,151,61439,91,32,440,26,1951996,0.026,90.8,98.6,86.6,88.9,100.4,96.8,48.8,38,0.0045,1829542,0.0669,0.0058,25.4087,117466,6017.7377
Iowa,2315,227,149,146,60523,92,29,481,26,3167974,0.043,90.1,98.3,76.5,94.1,98.6,93.7,47.8,33,0.002,3050745,0.0384,0.0095,56.7158,185671,5860.8751
Idaho,2315,243,201,188,55785,91,28,448,20,1860123,0.032,92.3,91.6,105.5,82.8,98.6,100.9,44.4,39,0.02,1570746,0.1842,0.0056,22.5079,116157,6244.5871
Maine,2106,283,116,125,57918,93,32,445,26,1354522,0.028,117.5,100.4,142,107.2,106.9,108.4,41,43,0.0038,1327629,0.0203,0.004,43.9167,103776,7661.4481
Alaska,1907,161,111,176,77640,93,30,370,26,724357,0.036,129.9,132.7,126.6,157,111,113.7,26.6,49,-0.0049,713910,0.0146,0.0022,1.2694,65186,8999.1537
West Virginia,1397,79,137,89,46711,87,21,424,26,1767859,0.037,91.1,97.9,77.1,88.2,104.8,102.9,51.8,40,-0.0068,1854239,-0.0466,0.0053,73.5443,130536,7383.8468
New Hampshire,1396,206,113,84,76768,93,37,427,26,1372203,0.047,109.7,99.7,110.3,115.2,99.6,110.8,43.8,42,0.0046,1316762,0.0421,0.0041,153.2674,96098,7003.1912
Montana,1357,136,205,82,54970,94,32,552,28,1085004,0.038,106.9,103.1,105.9,88.1,95.3,98.6,42.7,44,0.0075,990697,0.0952,0.0032,7.4547,85350,7866.3304
Mississippi,1184,69,72,56,45081,85,22,235,26,2966407,0.034,86.1,93.2,666,92.3,89.1,91.4,63.4,35,-0.0016,2970548,-0.0014,0.0089,63.2186,165538,5580.421
Vermont,1089,128,87,105,61973,93,38,513,26,623251,0.043,114.5,109.5,136.7,120.6,116.4,104.1,42.9,51,-0.0006,625879,-0.0042,0.0019,67.6197,36988,5934.6876
Rhode Island,1055,111,92,26,67167,89,34,586,26,1061509,0.032,119.4,108.7,124.2,125.8,111.1,118.7,50.1,45,0.001,1053959,0.0072,0.0032,1026.6044,54121,5098.4966
South Dakota,995,76,66,66,58275,92,29,414,26,896581,0.035,99.8,101.8,112.7,91.2,89.7,91.1,45.2,47,0.0067,816166,0.0985,0.0027,11.8265,57550,6418.8289
Delaware,921,116,65,42,68287,90,32,400,26,990334,0.032,108.1,109.5,93.3,104.3,111,113.7,55.3,46,0.0084,899593,0.1009,0.003,508.1242,65438,6607.6697
North Dakota,557,51,49,72,64894,93,30,618,26,770026,0.034,98.8,102.1,93.7,93.3,105.2,96.3,40.4,48,0.0052,674715,0.1413,0.0023,11.1596,46067,5982.5253
Wyoming,548,37,51,81,64049,93,27,508,26,581075,0,89.3,103.5,81.7,87.4,94.5,105.5,42,52,0.002,564487,0.0294,0.0017,5.9847,44999,7744.095
